year,month,state,frequency,sentiment
2012,1,AL,0.0,
2012,2,AL,0.0,
2012,3,AL,0.0,
2012,4,AL,0.0,
2012,5,AL,0.0,
2012,6,AL,0.0,
2012,7,AL,0.0,
2012,8,AL,0.0,
2012,9,AL,0.0,
2012,10,AL,0.0,
2012,11,AL,0.0,
2012,12,AL,0.0,
2013,1,AL,0.0,
2013,2,AL,0.0,
2013,3,AL,0.0,
2013,4,AL,0.0,
2013,5,AL,0.0,
2013,6,AL,0.0,
2013,7,AL,0.0,
2013,8,AL,0.0,
2013,9,AL,0.0,
2013,10,AL,0.0,
2013,11,AL,0.0,
2013,12,AL,0.0,
2014,1,AL,0.0,
2014,2,AL,0.0,
2014,3,AL,0.0,
2014,4,AL,0.0,
2014,5,AL,0.0,
2014,6,AL,0.0,
2014,7,AL,0.0,
2014,8,AL,0.0,
2014,9,AL,0.0,
2014,10,AL,0.0,
2014,11,AL,0.0,
2014,12,AL,0.0,
2015,1,AL,0.0,
2015,2,AL,0.0,
2015,3,AL,0.0,
2015,4,AL,0.0,
2015,5,AL,0.0,
2015,6,AL,0.0,
2015,7,AL,0.0,
2015,8,AL,0.0,
2015,9,AL,0.0,
2015,10,AL,0.0,
2015,11,AL,0.0,
2015,12,AL,0.0,
2016,1,AL,0.0,
2016,2,AL,0.0,
2016,3,AL,0.0,
2016,4,AL,0.0,
2016,5,AL,0.0,
2016,6,AL,0.0,
2016,7,AL,0.0,
2016,8,AL,0.0,
2016,9,AL,0.0,
2016,10,AL,0.0,
2016,11,AL,0.0,
2016,12,AL,0.0,
2017,1,AL,0.0,
2017,2,AL,0.0,
2017,3,AL,0.0,
2017,4,AL,0.0,
2017,5,AL,0.0,
2017,6,AL,0.0,
2017,7,AL,17.0,0.0305905695611578
2017,8,AL,16.0,0.0693514384920635
2017,9,AL,26.0,-0.0522741147741148
2017,10,AL,12.0,0.0289930555555555
2017,11,AL,10.0,0.0775108225108225
2017,12,AL,7.0,-0.09375
2018,1,AL,5.0,0.0584444444444445
2018,2,AL,9.0,-0.0312962962962963
2018,3,AL,27.0,0.141923868312757
2018,4,AL,13.0,-0.0934472934472935
2018,5,AL,15.0,-0.0627606421356421
2018,6,AL,9.0,-0.293757014590348
2018,7,AL,13.0,-0.0441558441558442
2018,8,AL,5.0,-0.021
2018,9,AL,5.0,0.0728148148148148
2018,10,AL,3.0,-0.433564814814815
2018,11,AL,0.0,
2018,12,AL,0.0,
2019,1,AL,0.0,
2019,2,AL,0.0,
2019,3,AL,0.0,
2019,4,AL,0.0,
2019,5,AL,0.0,
2019,6,AL,2.0,0.0666666666666667
2019,7,AL,1.0,0.0
2019,8,AL,0.0,
2019,9,AL,0.0,
2019,10,AL,0.0,
