tweet,hand_rated,sentiment_corenlp,sentiment_textblob,subjectivity,sentiment_textblob_NB,sentiment_textblob_NB_weighted,sentiment_textblob_weighted,sentiment_vader
"@citizenrosebud @jphoganorg @realDonaldTrump @GOP @jack @TwitterGov @TwitterSupport #Firstdayofschool2018 #NationalRadioDay ~ #MondayMotivation

#CitizenRosebud #PirateRadio #Election2018 #BackToSchool #CommonCore

#Teachers #Midterms: #Constitution sets up ""E Pluribus Unum"" good #MusicMonday of also means BY HOW CONSTITUTED EACH STILL AN INDIVIDUAL OF OUR LORD! https://t.co/1T4QM01lNz",-0.5,1.0,0.35,0.5,0.912402625680162,0.912402625680162,0.35,0.4926
This is true &amp; why @billgates said he funded #commoncore to be like a common outlet for kids to be plugged into like appliances https://t.co/VdN4weDy4e https://t.co/OcrJ92yBao,-0.5,1.0,0.025,0.575,0.913708106408423,0.913708106408423,0.025,0.7783
"@NetAdvisor @Eliz_Hightower @charliekirk11 socialism is sold to young minds by #commoncore #pedowood #fakenews its a form of brainwashing.
I am a #millenial and KNOW that #socialism is just a different form of #communism.
socialism is voting for your death. communism is them taking it by force. https://t.co/3t6rd8FWn6",-1.0,1.75,0.025,0.25,0.708825793718213,0.730540631883881,0.0315789473684211,-0.7506
100% of students boycotted #CommonCore mandatory testing #Seattle. Does it mean anything nationally? http://t.co/3S1pnkZi4C,-0.5,1.0,-0.15625,0.34375,0.598279215858551,0.579160595286981,-0.130208333333333,-0.34
Did You Know? #NoChildLeftBehind &amp; #CommonCore are indoctrination methods.  Both use standardization over/above creativity &amp; individuality. https://t.co/KW85n1bozm,-0.5,2.0,0.0,0.0,0.551774775359727,0.566769420859102,0.0,0.3818
Today on Utahns Against #CommonCore Facebook: bowling alley genitalia. #uted #utpol https://t.co/X0AmFwCSvE,-0.5,1.5,0.0,0.0,0.870060996088882,0.870060996088882,0.0,0.0
@madisontaylorr7 @casssihowell Walk in with a growth mindset #CommonCore 😤,-0.5,3.0,0.0,0.0,0.43739719392538,0.43739719392538,0.0,0.3818
"@BeReasonable1 This is the goal! To break the self confidence of our children!

#CommonCore is no fumble. It is intentional, imo. 

Good for you! The #CommonCore math is from the twilight zone.",-0.5,2.33333333333333,0.145833333333333,0.1,0.399180049276239,0.435617454594626,0.0905172413793103,0.7074
"OPT-OUT 2018: NY parents will refuse rebranded #CommonCore tests after Commissioner's fake ""listening"" tour https://t.co/0ba8PYaLRL @NYSAPE",0.0,1.0,-0.5,1.0,0.134376618736515,0.134376618736515,-0.5,-0.6486
"https://t.co/9E3aiJ9z8J
#innovation #creativity #gbl #education #CommonCore #teachers #learning #schools #read #criticalthinking",0.5,2.0,0.0,,,,,0.0
Bring structure to your #CommonCore instruction using these #math teacher guides.  https://t.co/GJv4LwJl2C https://t.co/SuYVtbt3sl,0.5,3.0,0.0,0.0,0.995546979482906,0.995546979482906,0.0,0.0
"Please dump #CommonCore
Now.  https://t.co/smTyhg2NdD",0.5,2.0,0.0,0.0,0.234237500947103,0.234237500947103,0.0,-0.0772
"We have loads of classroom guides that correspond to each Nomad book. You can find #activities, #essentialquestions, #commoncore connections, and more! Check out our library of #free #ClassroomGuides! #teachers #homeschools https://t.co/mrJMhrLDZm https://t.co/yQAU3m4ILT",0.5,2.25,0.28125,0.166666666666667,0.763880309316239,0.795030300842575,0.192307692307692,0.0
"What's up w/NY's switch from #CommonCore? @vivettdukes just isn't feeling it. @highachieveny @edu_post #edchat
https://t.co/N5tRCttSYg",-0.5,1.66666666666667,0.0,0.0,0.54887039391616,0.548541048975896,0.0,-0.0951
"@TeresaEdelglass OUTRAGEOUS that Jacob Shoemaker SUSPENDED for staying in classroom during #GunControl.

That is abusive, totatalitarian mind control NOT compatible with #Constitution and #FirstAmendment. 

#CommonCore
#Agenda21 

#schoolwalkout
https://t.co/1qDNoWfyp0… https://t.co/aePJOENy1e",1.0,1.33333333333333,-0.333333333333333,0.5,0.481472957225487,0.481472957225487,-0.5,-0.9147
"#commoncore the Left's latest attempt at turning children away from their #parents Schools do not want you teaching your kids to go against the brainwashing they are doing, so make it impossible to help the children in the home. https://t.co/JWmGAW74Ba",-0.5,1.0,-0.0555555555555555,0.633333333333333,0.635745216382942,0.635745216382942,-0.0555555555555556,-0.0057
".@NYSEDNews won't admit this June's #CommonCore Geometry final was a total train wreck. Test authors half understand #math.
#edchat #mtbos https://t.co/DIOr9TyJOW",-0.5,1.5,-0.0416666666666667,0.347222222222222,0.364280385678428,0.313156188798508,-0.0490196078431372,-0.5411
Today on Utahns Against #CommonCore Facebook: bowling alley genitalia. #uted #utpol https://t.co/X0AmFwCSvE,-0.5,1.5,0.0,0.0,0.870060996088882,0.870060996088882,0.0,0.0
#MDUSD Trustee Linda Mayo attended several district events and annual #PTA convention. Passed out info to trustees re #CommonCore and #LCAP.,0.0,1.0,0.0,0.0,0.713862766940673,0.726972480252071,0.0,0.3182
"Florida school ditches common core and soars to #1.
They chose to dump the Obama supported Dumbing down America #commoncore.
https://t.co/hy3HaHUweL",-0.5,2.0,-0.227777777777778,0.394444444444444,0.666875201580793,0.679244585180412,-0.220555555555556,-0.2023
"It will take many yrs to undo the damage done to schools by @ArneDuncan @BillGates &amp; @gatesed by imposing #commoncore, flawed teacher evaluation methods &amp; their opposition to proven reforms like equitable class size https://t.co/w1oqLhDBPM",-0.5,1.0,0.0,0.5,0.998637993095324,0.998637993095324,0.0,-0.2732
"GREAT NEWS for #StopCommonCore activists in #Florida!
@RonDeSantisFL wants to ""get rid"" of #CommonCore!
Y'all go DONATE to his campaign!
#StopFedEd #TCOT #PJNET #KeepFLRed #RedWave #FLpol #FLGOP https://t.co/Q0gpZ4Kxgj",2.0,1.5,0.3125,0.283333333333333,0.681969617817879,0.681969617817879,0.416666666666667,0.7723
"Since Day 1 (2010) my free kids #STEM videos + all projects have been build with #NationalScienceStandards #CommonCore and #NextGeneration K-5 academic standards in mind. I am ALWAYS looking to improve, better serve, and get into more classrooms + #homeschool Plz share + critique https://t.co/a86KM8Fib4",1.0,1.0,0.35,0.45,0.889792728188311,0.890744348218365,0.338461538461538,0.8971
"@__0HOUR1_ @TGowdySC @ChuckGrassley They used #CommonCore mathematics. 

Like every election, #voterfraud is rampant &amp; the fraud has been committed on the Democratic side. We ALL knew it would happen again! #VoterFraudAL",-0.5,1.25,0.0,0.0,0.737730251313784,0.783511629211911,0.0,-0.126
"REALIST NEWS - FL #school dumps #CommonCore - move up to 1st place #English Language Arts https://t.co/5Rf1b7xH8W
#BarackObama @BarackObama https://t.co/huQ66AcyLM",2.0,1.0,0.0,0.0,0.981007974223745,0.981007974223745,0.0,-0.4019
@billdodgeusa Looks like they only missed the Net by about 30 feet... #CommonCore math ain't so bad.,2.0,1.0,-0.233333333333333,0.555555555555555,0.239219546239637,0.239219546239637,-0.233333333333333,0.5972
"Florida school ditches common core and soars to #1.
They chose to dump the Obama supported Dumbing down America #commoncore.
https://t.co/hy3HaHUweL",-0.5,2.0,-0.227777777777778,0.394444444444444,0.666875201580793,0.679244585180412,-0.220555555555556,-0.2023
@Nigel_Farage Suppose Clinton is like a bad stock. It's a loser so dump it. Hillary is an #agenda21 #commoncore cheerleader. #stopcommoncore,-0.5,1.25,-0.175,0.222222222222222,0.22099249507751,0.223315098961294,-0.288235294117647,-0.7824
"Looks like the charges that #CommonCore was ""dumbing down"" #education standards were wrong.  States raising bar but not getting students to #college &amp; #career ready levels yet #MAedu https://t.co/cYjSDRbhw0",0.5,1.0,-0.0638888888888889,0.547222222222222,0.821609993173255,0.824100155518454,-0.0524154589371981,0.2846
"I Need My Monster / Hey, That's My Monster Interactive #Reading Activities 2 Pack https://t.co/fbqEmu4ToK #teacherspayteachers #teachersfollowteachers #edchat #eled #elementaryschool #commoncore #education #school #readaloud #halloween",0.5,1.0,0.0,0.0,0.704168806847003,0.704168806847003,0.0,0.0
Utah law was sponsored by Senator Dayton 2 years ago that Utah is NOT part of the #CommonCore - @GovHerbert,0.0,1.0,0.0,0.0,0.968656710756382,0.968656710756382,0.0,0.0
@RubyRockstar333 #CommonCore : the New World Order’s most dangerous weapon must be extirpated from every school in every state #Freedom,-1.0,2.0,0.0121212121212121,0.618181818181818,0.727154230202987,0.727154230202987,0.0121212121212121,-0.707
"SPI Diane Douglas continues the charade that #CommonCore is gone from AZ.  3rd parties say otherwise--
#AZSuptForum https://t.co/MzYv0bkpGm",0.0,1.0,0.0,0.0,0.815184143526127,0.76608100332753,0.0,0.4019
"#CommonCore forcing 4th graders to read Black Panthers, anti-cop literature, and why they need #amnesty #OutOfControl http://t.co/YHQ92Jpxuw",-0.5,1.0,-0.166666666666667,0.433333333333333,0.38573345603952,0.38573345603952,-0.166666666666667,0.0
@CoolMFPanda Even if they hadn't they still need 60 votes. Do your math. #CommonCore?,2.0,2.0,0.0,0.0,0.519364043738123,0.494383121929287,0.0,0.0
"1+1=2, 2+2=4, 3+3=6.....it's not rocket science. Come ON @FBI, you're old enough to know basic arithmetic and to have avoided #commoncore. https://t.co/mPRIvZDBP5",0.0,1.0,0.0166666666666667,0.1375,0.483651757631677,0.48886126335736,0.0238095238095238,-0.34
#HISTORY  THE #NAACP #MAYORMEMPHIS AND #COMMONCORE DOESNT WANT U TO HEAR ABOUT HISTORY OF #AFRICANAMERICAN SLAVE OWNERSHIP WHILE THE NAACP #LAWYERS ROB #AMERICA IN LAND SCAMS AND SCHEMES ALL ACROSS THE #USA IN THE NAME OF REMOVING #CONFEDERATEHISTORY #CONFEDERATESTATUES #RACISM https://t.co/btjOojz6y4,-1.0,1.0,0.0,0.0,0.719033615153097,0.719033615153097,0.0,-0.8917
Bill Gates needs to drop his Common Core obsession NOW. RETWEET DAILY!https://t.co/U7y6RL64GY #CommonCore #StopTheCore #USA #Education,-1.0,2.0,-0.1,0.25,0.625868072847861,0.664325575958556,-0.25,-0.5848
"ICYMI:
Illogical Politics: Letter Re: My Concerns With #CommonCore https://t.co/seqMgQSTNG …
#StopCommonCore #PJNET #TCOT #StopFEPA https://t.co/VKEWA1wfMr",-0.5,1.0,0.0,0.0,0.188799208101729,0.188799208101729,0.0,0.0
