,date,sentiment
2017-07,2017-07,0.010231722661101192
2017-08,2017-08,-0.008949057821362965
2017-09,2017-09,0.01569679198096002
2017-10,2017-10,-0.009197477217908891
2017-11,2017-11,0.00696172648818203
2017-12,2017-12,0.008933180748298518
2018-01,2018-01,0.004968927794726993
2018-02,2018-02,0.02400549055616614
2018-03,2018-03,0.02270767581028897
2018-04,2018-04,0.016168434003165
2018-05,2018-05,0.025084141533236164
2018-06,2018-06,0.04117207121713283
2018-07,2018-07,0.045428449465191666
2018-08,2018-08,0.06405062901888556
2018-09,2018-09,0.056646394662159545
2018-10,2018-10,0.03490886175503109
