tweet,hand_rated,sentiment_corenlp,sentiment_textblob,subjectivity,sentiment_textblob_NB,sentiment_textblob_NB_weighted,sentiment_textblob_weighted,sentiment_vader
STRAIGHT UP YOUR ALLY! So proud of you https://t.co/MeErj5suk3,1.0,2.0,0.525,0.7,0.438029919643936,0.438029919643936,0.525,0.7855
The primary way for new districts to adopt Spotlight's College &amp; Career Readiness Guide? Their teachers &amp; counselors receive it - as parents - from districts already using it. Now THAT'S real customer feedback! #collegereadiness,0.5,2.0,0.129545454545455,0.259090909090909,0.469317505181962,0.490266716600198,0.147192513368984,0.4574
#PoweredByTTL #APSHollisCrew @CFPExtraYard @APSBrown  Collaboration in literacy allows Teachers to Lead always READY to  prep future leaders for College &amp; Career Readiness using globally competitive life skills through literature &amp; writing. https://t.co/Vgp2t7s9AF,0.0,1.0,0.0666666666666667,0.208333333333333,0.998390758782875,0.998390758782875,0.0666666666666667,0.7125
"Thanks @CCSDK12 for sharing Mike Giles with us today, as he shares how Cherry Creek is working to close opportunity gaps, at the 2018 Colorado #college #career readiness conference at the @EmbassySuites in @visitdenver @ACT @ACTEquity #coACT https://t.co/gqKcQeyf4S",0.5,1.0,0.2,0.2,0.890739621919651,0.890739621919651,0.2,0.8934
"2 new internships for @HighlineSchools students!!  

-- OneAmerica English Innovations Tutor --
-- Para Los Niños Teaching Assistants --
Check it out: https://t.co/iPA0bOvZyq 

@EHSWolverines @Highlinepirates @TyeeHS @TheRamPack 
@Evergreen_C_C @hhsccreadiness @TyeeCCC @MRHS_CC https://t.co/uPiu9VBxCz",0.5,1.5,0.106534090909091,0.227272727272727,0.763112799705686,0.827556922756788,0.0507305194805195,0.0
"College  Career Readiness Specialist - Salt Lake City, UT   https://t.co/9w6JKmzBpd",0.0,3.0,0.0,0.0,0.677034980307074,0.677034980307074,0.0,0.25
@Ilhan Which is why we must question the “College and Career Readiness” approach employed in Districts all over the country.,-0.5,1.0,0.0,0.0,0.470013994087857,0.470013994087857,0.0,0.0
"Approved recommendations for charter school applications include: strengthen early literacy, college and career readiness, and high-quality school options @LocalMemphis",0.0,1.0,0.1,0.3,0.676744140130717,0.676744140130717,0.1,0.7269
"The State Board will consider new computer science standards on Sept. 6 &amp; consider adding the State Seal of Biliteracy, Golden State Seal Merit Diploma &amp; ROTC completion to the college &amp; career readiness indicator on the Dashboard. To watch the webcast: https://t.co/FYDzpiyXO0",0.0,1.5,0.109090909090909,0.238636363636364,0.680846895628649,0.815801155289521,0.197402597402597,0.5859
Lots of #edpolicy talk about college &amp; career readiness but what do students say? @Youth_Truth asked 55k+ students https://t.co/5mwftIMDUo https://t.co/Pc903VZlDD,0.0,2.0,0.0,0.0,0.519488258559788,0.478841464134527,0.0,0.128
