,date,sentiment
2017-07,2017-07,0.0831681526655562
2017-08,2017-08,0.13362376866911568
2017-09,2017-09,0.11599084380494366
2017-10,2017-10,0.11707289501513327
2017-11,2017-11,0.11926266781965313
2017-12,2017-12,0.13840115871340258
2018-01,2018-01,0.14612452545362148
2018-02,2018-02,0.144740189929782
2018-03,2018-03,0.1240422370677606
2018-04,2018-04,0.11679790199163397
2018-05,2018-05,0.16429305882160825
2018-06,2018-06,0.15033083696441538
2018-07,2018-07,0.14494942229686328
2018-08,2018-08,0.13961490047604097
2018-09,2018-09,0.11771017347220615
2018-10,2018-10,0.1530608318114177
