id,created_at,retweet_count,favorite_count,deleted,time_downloaded
1139289589343039488,2019-06-13 21:52:59.000000,2.0,5.0,0,2019-07-12 12:24
1139291616953491457,2019-06-13 22:01:03.000000,3.0,0.0,0,2019-07-12 12:24
1139298531276144642,2019-06-13 22:28:31.000000,0.0,1.0,0,2019-07-12 12:24
1139298667087749122,2019-06-13 22:29:04.000000,5.0,18.0,0,2019-07-12 12:24
1139299757338312705,2019-06-13 22:33:23.000000,0.0,1.0,0,2019-07-12 12:24
1139299781271019521,2019-06-13 22:33:29.000000,0.0,0.0,0,2019-07-12 12:24
1139301339635150849,2019-06-13 22:39:41.000000,5.0,0.0,0,2019-07-12 12:24
1139308500398428161,2019-06-13 23:08:08.000000,0.0,1.0,0,2019-07-12 12:24
1139313842716995584,2019-06-13 23:29:22.000000,5.0,0.0,0,2019-07-12 12:24
1139315465912639488,2019-06-13 23:35:49.000000,2.0,24.0,0,2019-07-12 12:24
1139329745924055051,2019-06-14 00:32:33.000000,1.0,10.0,0,2019-07-12 12:24
1139331224974123008,2019-06-14 00:38:26.000000,,,1,2019-07-12 12:24
1139334066900230146,2019-06-14 00:49:44.000000,,,1,2019-07-12 12:24
1139335093280026625,2019-06-14 00:53:48.000000,,,1,2019-07-12 12:24
1139335533233090561,2019-06-14 00:55:33.000000,,,1,2019-07-12 12:24
1139339171208859653,2019-06-14 01:10:00.000000,,,1,2019-07-12 12:24
1139340797365633024,2019-06-14 01:16:28.000000,,,1,2019-07-12 12:24
1139341178233655302,2019-06-14 01:17:59.000000,,,1,2019-07-12 12:24
1139341349197615104,2019-06-14 01:18:40.000000,,,1,2019-07-12 12:24
1139342210942537730,2019-06-14 01:22:05.000000,,,1,2019-07-12 12:24
1139342861525245952,2019-06-14 01:24:40.000000,,,1,2019-07-12 12:24
1139343170213486592,2019-06-14 01:25:54.000000,,,1,2019-07-12 12:24
1139343211745435648,2019-06-14 01:26:04.000000,,,1,2019-07-12 12:24
1139343320772165633,2019-06-14 01:26:30.000000,,,1,2019-07-12 12:24
1139343825774796802,2019-06-14 01:28:30.000000,,,1,2019-07-12 12:24
1139346024387022850,2019-06-14 01:37:14.000000,,,1,2019-07-12 12:24
1139347002112794625,2019-06-14 01:41:08.000000,,,1,2019-07-12 12:24
1139347789777965056,2019-06-14 01:44:15.000000,,,1,2019-07-12 12:24
1139347811315720192,2019-06-14 01:44:20.000000,,,1,2019-07-12 12:24
1139347842185777152,2019-06-14 01:44:28.000000,,,1,2019-07-12 12:24
1139348312375660544,2019-06-14 01:46:20.000000,,,1,2019-07-12 12:24
1139348319296266240,2019-06-14 01:46:22.000000,,,1,2019-07-12 12:24
1139348596829118464,2019-06-14 01:47:28.000000,,,1,2019-07-12 12:24
1139348831336894464,2019-06-14 01:48:24.000000,,,1,2019-07-12 12:24
1139349151932719105,2019-06-14 01:49:40.000000,,,1,2019-07-12 12:24
1139349680150765568,2019-06-14 01:51:46.000000,,,1,2019-07-12 12:24
1139359731762499584,2019-06-14 02:31:42.000000,0.0,0.0,0,2019-07-12 12:24
1139360118129209345,2019-06-14 02:33:15.000000,1.0,1.0,0,2019-07-12 12:24
1139371517723103232,2019-06-14 03:18:32.000000,1.0,0.0,0,2019-07-12 12:24
1139380710072995840,2019-06-14 03:55:04.000000,,,1,2019-07-12 12:24
1140725481303658497,2019-06-17 20:58:43.000000,4.0,0.0,0,2019-07-12 12:24
1140729132336242691,2019-06-17 21:13:13.000000,0.0,4.0,0,2019-07-12 12:24
1140730803061743616,2019-06-17 21:19:51.000000,18.0,0.0,0,2019-07-12 12:24
1140735108498034694,2019-06-17 21:36:58.000000,1.0,3.0,0,2019-07-12 12:24
1140740023156977665,2019-06-17 21:56:30.000000,1.0,16.0,0,2019-07-12 12:24
1140749663320125440,2019-06-17 22:34:48.000000,0.0,15.0,0,2019-07-12 12:24
1140751551838818305,2019-06-17 22:42:18.000000,0.0,0.0,0,2019-07-12 12:24
1140753132894511105,2019-06-17 22:48:35.000000,2.0,0.0,0,2019-07-12 12:24
1140754049563877382,2019-06-17 22:52:14.000000,1.0,3.0,0,2019-07-12 12:24
1140755717110018055,2019-06-17 22:58:51.000000,4.0,0.0,0,2019-07-12 12:24
1140757257908568064,2019-06-17 23:04:59.000000,0.0,2.0,0,2019-07-12 12:24
1140757291169439746,2019-06-17 23:05:07.000000,2.0,0.0,0,2019-07-12 12:24
1140759285825245184,2019-06-17 23:13:02.000000,,,1,2019-07-12 12:24
1140760335164563457,2019-06-17 23:17:12.000000,0.0,0.0,0,2019-07-12 12:24
1140763522655301633,2019-06-17 23:29:52.000000,4.0,17.0,0,2019-07-12 12:24
1140768801237196800,2019-06-17 23:50:51.000000,4.0,0.0,0,2019-07-12 12:24
1140770483765428233,2019-06-17 23:57:32.000000,1.0,0.0,0,2019-07-12 12:24
1140776086323826688,2019-06-18 00:19:48.000000,0.0,0.0,0,2019-07-12 12:24
1140777789374783488,2019-06-18 00:26:34.000000,4.0,0.0,0,2019-07-12 12:24
1140778676285562880,2019-06-18 00:30:05.000000,1.0,12.0,0,2019-07-12 12:24
1140779329921720320,2019-06-18 00:32:41.000000,4.0,0.0,0,2019-07-12 12:24
1140780966295875586,2019-06-18 00:39:11.000000,,,1,2019-07-12 12:24
1140783802756816896,2019-06-18 00:50:27.000000,,,1,2019-07-12 12:24
